cinema (ID),cinema (source),cinema (transliteration),"city, country",year,address,"lat,long",run,seats,affiliation,comments,sources,reconstruction,Coef
MOS001,Метрополь,Metropol',"Moscow, SU",1946,"Pl. Sverdlova, 2/4","55.758448, 37.621669",1,680,The Main Department of Cinefication (Soviet Union level),,RGALI. F. 2473. Op. 1. D. 286. L. 29-30.,0,1
MOS002,Москва,Moskva,"Moscow, SU",1946,"Pl. Maiakovskogo, 1","55.769494, 37.593533",1,747,The Main Department of Cinefication (Soviet Union level),,RGALI. F. 2473. Op. 1. D. 286. L. 29-30.,0,1
MOS003,Ударник,Udarnik,"Moscow, SU",1946,"Ul. Serafimovicha, 2","55.744450, 37.613072",1,1587,The Main Department of Cinefication (Soviet Union level),,RGALI. F. 2473. Op. 1. D. 286. L. 29-30.,0,1
MOS004,Колизей,Kolizeĭ,"Moscow, SU",1946,"Chistye prudy, 19а","55.761781, 37.645941",1,1000,The Main Department of Cinefication (Soviet Union level),,RGALI. F. 2473. Op. 1. D. 286. L. 29-30.,0,1
MOS005,Авангард,Avangard,"Moscow, SU",1946,B. Iakimanka,"55.731779, 37.611473",1,489,Moscow City Executive Committee's Department of Cinefication,,"The data on the cinema's address and capacity is based on the 1947 record, and the data on the cinema's run is based on the 1948 record.",1,1
MOS006,Аврора,Avrora,"Moscow, SU",1946,"Ul. Chernyshevskogo, 16","55.759157, 37.645708",3,338,Moscow City Executive Committee's Department of Cinefication,,"The data on the cinema's address and capacity is based on the 1947 record, the data on the cinema's run is based on the 1948 record.",1,"0,62"
MOS007,Арс,Ars,"Moscow, SU",1946,"Arbat, 51","55.74806146601852, 37.58749976700312",2,254,Moscow City Executive Committee's Department of Cinefication,,"The data on the cinema's address and capacity is based on the 1947 record, the data on the cinema's run is based on the 1948 record.",1,"0,88"
MOS008,Баррикады,Barrikady,"Moscow, SU",1946,"Barrikadnaia, 21","55.76064794396243, 37.579330860186516",2,441,Moscow City Executive Committee's Department of Cinefication,,"The data on the cinema's address and capacity is based on the 1947 record, the data on the cinema's run is based on the 1948 record.",1,"0,88"
MOS009,Востоккино,Vostokkino,"Moscow, SU",1946,Sverdlova pl. 1/8,"55.76037895000343, 37.61916289759364",1,331,Moscow City Executive Committee's Department of Cinefication,,"TCGAM. F. R-265. Op. 1. D. 10. L. 55. The archival document indicates that the total number of seats for three city-level cinemas in the Sverdlovskiiĭ district was 1,830 seats. According to available information, in 1946 the Sverdlovskiiĭ district had the Tsentral'nyĭ cinema theater (810 seats) and the Sad Ėrmitazh cinema theater (689 seats), the number of seats for the Vostokkino cinema was calculated by subtracting it from the total. The data on the cinema's address is based on the book Teatral'naia Moskva. M: Sovetskoe iskusstvo, 1947. Information about the cinema's run is unknown. ",1,1
MOS010,Динамо,Dinamo,"Moscow, SU",1946,Leningradskiĭ district,"55.79618060753062, 37.555168887144774",1,553,Moscow City Executive Committee's Department of Cinefication,,All the data is based on the 1948 record.,1,1
MOS011,Диск,Disk,"Moscow, SU",1946,Mariinskaia ul. 23,"55.809621, 37.634416",3,216,Moscow City Executive Committee's Department of Cinefication,,"The data on the cinema's address and capacity is based on the 1947 record, the data on the cinema's run is based on 1948.",1,"0,62"
MOS012,Заря,Zaria,"Moscow, SU",1946,"Piatnitskaia ul., 2","55.745524, 37.626412",3,261,Moscow City Executive Committee's Department of Cinefication,,"The data on the cinema's address and capacity is based on the 1947 record, the data on the cinema's run is based on the 1948 record.",1,"0,62"
MOS013,им. III Интернационала,im. III Internatsionala,"Moscow, SU",1946,"Spartakovskaia, 21","55.77323586956071, 37.67796359405088",2,428,Moscow City Executive Committee's Department of Cinefication,,"The data on the cinema's address and capacity is based on the 1947 record, the data on the cinema's run is based on the 1948 record.",1,"0,88"
MOS014,Кадр,Kadr,"Moscow, SU",1946,"Pliushchikha, 11","55.744520, 37.579277",3,314,Moscow City Executive Committee's Department of Cinefication,,"The data on the cinema's address and capacity is based on the 1947 record, the data on the cinema's run is based on the 1948 record.",1,"0,62"
MOS015,Кинотеатр повторного фильма,Kinoteatr povtornogo fil'ma,"Moscow, SU",1946,"Ul. Gertsena, 23","55.757288, 37.599238",2,466,Moscow City Executive Committee's Department of Cinefication,"specialized, re-run cinema","The data on the cinema's address and capacity is based on the 1947 record, the data on the cinema's run is based on 1948 record.",1,"0,88"
MOS016,Луч,Luch,"Moscow, SU",1946,Sokol'nicheskiĭ district,"55.791681890731304, 37.68025349659428",2,401,Moscow City Executive Committee's Department of Cinefication,,"The data on the cinema's address and capacity is based on the 1947 record, the data on the cinema's run is based on the 1948 record.",1,"0,88"
MOS017,Мир,Mir,"Moscow, SU",1946,"Sushchevskiĭ val, 18","55.792343570876206, 37.60394035824865",2,351,Moscow City Executive Committee's Department of Cinefication,,"The data on the cinema's address and capacity is based on the 1947 record, the data on the cinema's run is based on the 1948 record. ",1,"0,88"
