film_id,title (original),Year of Production,Duration (min),IMDB id
flm0000001,Разгром милитаристской Японии,1945,67,tt0171687
flm0000002,Близнецы,1945,83,tt0039925
flm0000003,"Специальный киновыпуск ""Челси"" - ""Динамо""",,,
flm0000004,"Специальный киновыпуск ""Кардифф-Сити"" - ""Динамо""",,,
flm0000005,"Специальный выпуск ""Ренджерс"" - ""Динамо""",,,
flm0000006,Новости дня № 44 1946 г.,,,
flm0000007,Spring Parade,1940,89,tt0033095
flm0000008,Аршин Мал-Алан,1945,96,tt0037520
flm0000009,Лыжный спорт,,,
flm0000010,The Little Foxes,1942,108,tt0034928
flm0000011,Тахир и Зухра,1945,92,tt0237800
flm0000012,Георгий Саакадзе 2 серия,1942,184,tt0034781
flm0000013,Девушка спешит на свидание,1936,65,tt0027522
flm0000014,На границе,1938,94,tt0030489
flm0000015,Поединок,1945,73,tt0037914
flm0000016,Воздушный извозчик,1943,74,tt0037353
flm0000017,Нашествие,1945,100,tt0037937
flm0000018,Я - черноморец,1944,72,tt2651000
flm0000019,Разгром Юденича,1941,69,tt0034084
flm0000020,Морской пост,1938,75,tt6027678
flm0000021,Sun Valley Serenade,1941,86,tt0034241
flm0000022,В шесть часов вечера после войны,1944,65,tt0037423
flm0000023,Мужество,1939,73,tt0031687
flm0000024,Извержение Везувия,,,
flm0000025,Яков Свердлов,1940,124,tt0033277
flm0000026,Суворов,1941,100,tt0033118
flm0000027,Футболисты,,,
flm0000028,Небо Москвы,1944,81,tt0037122
flm0000029,Моя любовь,1940,80,tt0032812
flm0000030,Новости дня № 45 1946 г.,,,
flm0000031,Новости дня № 46 1946 г.,,,
flm0000032,Свинарка и пастух,1941,87,tt0034249
flm0000033,Член правительства,1940,76,tt0032337
flm0000034,Партизаны в степях Украины,1943,74,tt1346998
flm0000035,Малахов Курган,1944,86,tt0037043
flm0000036,Подводная лодка Т-9,1943,68,tt1767363
flm0000037,Ленин в 1918 году,1939,130,tt0031564
flm0000038,Ленин в Октябре,1937,93,tt0029132
flm0000039,Человек с ружьем,1938,88,tt0029986
flm0000040,Оборона Царицына,1942,95,tt0035142
flm0000041,Она защищает Родину,1943,74,tt0036236
flm0000042,Петр Первый 2 серия,1937,96,tt0029405
flm0000043,Кутузов,1944,95,tt0036572
flm0000044,Чапаев,1934,93,tt0024966
flm0000045,Зоя,1944,86,tt0037482
flm0000046,Подруги,1936,95,tt0026874
flm0000047,Будапешт,,,
flm0000048,Вена,,,
flm0000049,Как закалялась сталь,1942,76,tt0034932
flm0000050,Большая земля,1944,83,tt0036657
