person_id,film_id,Role
per0000001,flm0000001,Writer
per0000002,flm0000002,Writer
per0000003,flm0000002,Writer
per0000004,flm0000007,Writer
per0000005,flm0000007,Writer
per0000006,flm0000007,Writer
per0000007,flm0000008,Writer
per0000008,flm0000008,Writer
per0000009,flm0000010,Writer
per0000010,flm0000010,Writer
per0000011,flm0000011,Writer
per0000012,flm0000011,Writer
per0000013,flm0000012,Writer
per0000014,flm0000012,Writer
per0000015,flm0000013,Writer
per0000016,flm0000014,Writer
per0000017,flm0000014,Writer
per0000018,flm0000015,Writer
per0000019,flm0000015,Writer
per0000020,flm0000015,Writer
per0000021,flm0000016,Writer
per0000022,flm0000017,Writer
per0000023,flm0000017,Writer
per0000024,flm0000018,Writer
per0000025,flm0000019,Writer
per0000026,flm0000019,Writer
per0000027,flm0000020,Writer
per0000028,flm0000021,Writer
per0000029,flm0000021,Writer
per0000030,flm0000021,Writer
per0000031,flm0000022,Writer
per0000032,flm0000023,Writer
per0000016,flm0000025,Writer
per0000033,flm0000025,Writer
per0000034,flm0000025,Writer
per0000035,flm0000026,Writer
per0000036,flm0000026,Writer
per0000037,flm0000028,Writer
per0000038,flm0000028,Writer
per0000039,flm0000028,Writer
per0000040,flm0000029,Writer
per0000031,flm0000032,Writer
per0000041,flm0000033,Writer
per0000042,flm0000033,Writer
per0000043,flm0000033,Writer
per0000044,flm0000034,Writer
per0000045,flm0000034,Writer
per0000046,flm0000035,Writer
per0000042,flm0000035,Writer
per0000043,flm0000035,Writer
per0000047,flm0000036,Writer
per0000048,flm0000036,Writer
per0000049,flm0000037,Writer
per0000050,flm0000037,Writer
per0000049,flm0000038,Writer
per0000051,flm0000039,Writer
per0000052,flm0000040,Writer
per0000053,flm0000040,Writer
per0000049,flm0000041,Writer
per0000054,flm0000042,Writer
per0000055,flm0000042,Writer
per0000056,flm0000043,Writer
per0000057,flm0000044,Writer
per0000058,flm0000044,Writer
per0000053,flm0000044,Writer
per0000022,flm0000045,Writer
per0000059,flm0000045,Writer
per0000060,flm0000046,Writer
per0000059,flm0000046,Writer
per0000061,flm0000049,Writer
per0000062,flm0000049,Writer
per0000063,flm0000050,Writer
per0000025,flm0000051,Writer
per0000064,flm0000053,Writer
per0000065,flm0000054,Writer
per0000066,flm0000054,Writer
per0000067,flm0000054,Writer
per0000068,flm0000055,Writer
per0000069,flm0000056,Writer
per0000070,flm0000056,Writer
per0000071,flm0000057,Writer
per0000072,flm0000058,Writer
per0000073,flm0000058,Writer
per0000074,flm0000058,Writer
per0000075,flm0000059,Writer
per0000076,flm0000059,Writer
per0000077,flm0000059,Writer
per0000078,flm0000060,Writer
per0000079,flm0000060,Writer
per0000080,flm0000061,Writer
per0000081,flm0000061,Writer
per0000082,flm0000063,Writer
per0000083,flm0000064,Writer
per0000084,flm0000066,Writer
per0000024,flm0000067,Writer
per0000085,flm0000068,Writer
per0000086,flm0000068,Writer
per0000087,flm0000068,Writer
per0000088,flm0000070,Writer
per0000089,flm0000070,Writer
per0000090,flm0000079,Writer
per0000091,flm0000079,Writer
per0000054,flm0000080,Writer
per0000077,flm0000080,Writer
per0000063,flm0000081,Writer
per0000092,flm0000081,Writer
per0000093,flm0000081,Writer
per0000094,flm0000082,Writer
per0000095,flm0000082,Writer
per0000096,flm0000085,Writer
per0000097,flm0000085,Writer
per0000098,flm0000085,Writer
per0000024,flm0000087,Writer
per0000099,flm0000087,Writer
per0000076,flm0000087,Writer
per0000100,flm0000088,Writer
per0000101,flm0000088,Writer
per0000102,flm0000089,Writer
per0000103,flm0000089,Writer
per0000104,flm0000089,Writer
per0000105,flm0000090,Writer
per0000106,flm0000090,Writer
per0000063,flm0000094,Writer
per0000107,flm0000103,Writer
per0000108,flm0000104,Writer
per0000109,flm0000104,Writer
per0000062,flm0000106,Writer
per0000110,flm0000106,Writer
per0000111,flm0000107,Writer
per0000112,flm0000107,Writer
per0000113,flm0000109,Writer
per0000114,flm0000109,Writer
per0000115,flm0000110,Writer
per0000116,flm0000111,Writer
per0000022,flm0000115,Writer
per0000117,flm0000116,Writer
per0000118,flm0000116,Writer
per0000119,flm0000117,Writer
per0000120,flm0000118,Writer
per0000121,flm0000118,Writer
per0000122,flm0000119,Writer
per0000123,flm0000122,Writer
per0000124,flm0000122,Writer
per0000088,flm0000124,Writer
per0000125,flm0000124,Writer
per0000089,flm0000124,Writer
per0000126,flm0000125,Writer
per0000127,flm0000125,Writer
per0000126,flm0000126,Writer
per0000127,flm0000126,Writer
per0000128,flm0000127,Writer
per0000129,flm0000127,Writer
per0000130,flm0000127,Writer
per0000131,flm0000129,Writer
per0000132,flm0000129,Writer
per0000133,flm0000129,Writer
per0000068,flm0000136,Writer
per0000134,flm0000136,Writer
per0000135,flm0000137,Writer
per0000136,flm0000137,Writer
per0000137,flm0000137,Writer
per0000001,flm0000138,Writer
per0000109,flm0000138,Writer
per0000138,flm0000139,Writer
per0000139,flm0000142,Writer
per0000140,flm0000142,Writer
per0000141,flm0000144,Writer
per0000142,flm0000144,Writer
per0000143,flm0000144,Writer
per0000021,flm0000145,Writer
per0000144,flm0000145,Writer
per0000145,flm0000149,Writer
per0000039,flm0000149,Writer
per0000110,flm0000149,Writer
per0000146,flm0000150,Writer
per0000147,flm0000152,Writer
per0000148,flm0000152,Writer
per0000149,flm0000152,Writer
per0000070,flm0000153,Writer
per0000150,flm0000156,Writer
per0000151,flm0000156,Writer
per0000010,flm0000156,Writer
per0000152,flm0000157,Writer
per0000153,flm0000157,Writer
per0000154,flm0000158,Writer
per0000155,flm0000158,Writer
per0000101,flm0000158,Writer
per0000113,flm0000159,Writer
per0000114,flm0000159,Writer
per0000156,flm0000159,Writer
per0000085,flm0000161,Writer
per0000022,flm0000161,Writer
per0000157,flm0000163,Writer
per0000158,flm0000163,Writer
per0000159,flm0000165,Writer
