cinema_info_id,year,run,seats,address_cinema,city,lat,long,sources,comments,reconstruction,cinema_id,institution_id,country_id
cid0000001,1946,1,680,"Pl. Sverdlova, 2/4",Moscow,55.758448,37.621669,RGALI. F. 2473. Op. 1. D. 286. L. 29-30.,,False,cin0000001,ins0000001,ctr000001
cid0000002,1946,1,747,"Pl. Maiakovskogo, 1",Moscow,55.769494,37.593533,RGALI. F. 2473. Op. 1. D. 286. L. 29-30.,,False,cin0000002,ins0000001,ctr000001
cid0000003,1946,1,1587,"Ul. Serafimovicha, 2",Moscow,55.74445,37.613072,RGALI. F. 2473. Op. 1. D. 286. L. 29-30.,,False,cin0000003,ins0000001,ctr000001
cid0000004,1946,1,1000,"Chistye prudy, 19а",Moscow,55.761781,37.645941,RGALI. F. 2473. Op. 1. D. 286. L. 29-30.,,False,cin0000004,ins0000001,ctr000001
cid0000005,1946,1,489,B. Iakimanka,Moscow,55.731779,37.611473,"The data on the cinema's address and capacity is based on the 1947 record, and the data on the cinema's run is based on the 1948 record.",,True,cin0000005,ins0000002,ctr000001
cid0000006,1946,3,338,"Ul. Chernyshevskogo, 16",Moscow,55.759157,37.645708,"The data on the cinema's address and capacity is based on the 1947 record, the data on the cinema's run is based on the 1948 record.",,True,cin0000006,ins0000002,ctr000001
cid0000007,1946,2,254,"Arbat, 51",Moscow,55.74806146601852,37.58749976700312,"The data on the cinema's address and capacity is based on the 1947 record, the data on the cinema's run is based on the 1948 record.",,True,cin0000007,ins0000002,ctr000001
cid0000008,1946,2,441,"Barrikadnaia, 21",Moscow,55.76064794396243,37.579330860186516,"The data on the cinema's address and capacity is based on the 1947 record, the data on the cinema's run is based on the 1948 record.",,True,cin0000008,ins0000002,ctr000001
cid0000009,1946,1,331,Sverdlova pl. 1/8,Moscow,55.76037895000343,37.61916289759364,"TCGAM. F. R-265. Op. 1. D. 10. L. 55. The archival document indicates that the total number of seats for three city-level cinemas in the Sverdlovskiiĭ district was 1,830 seats. According to available information, in 1946 the Sverdlovskiiĭ district had the Tsentral'nyĭ cinema theater (810 seats) and the Sad Ėrmitazh cinema theater (689 seats), the number of seats for the Vostokkino cinema was calculated by subtracting it from the total. The data on the cinema's address is based on the book Teatral'naia Moskva. M: Sovetskoe iskusstvo, 1947. Information about the cinema's run is unknown. ",,True,cin0000009,ins0000002,ctr000001
cid0000010,1946,1,553,Leningradskiĭ district,Moscow,55.79618060753062,37.555168887144774,All the data is based on the 1948 record.,,True,cin0000010,ins0000002,ctr000001
cid0000011,1946,3,216,Mariinskaia ul. 23,Moscow,55.809621,37.634416,"The data on the cinema's address and capacity is based on the 1947 record, the data on the cinema's run is based on 1948.",,True,cin0000011,ins0000002,ctr000001
cid0000012,1946,3,261,"Piatnitskaia ul., 2",Moscow,55.745524,37.626412,"The data on the cinema's address and capacity is based on the 1947 record, the data on the cinema's run is based on the 1948 record.",,True,cin0000012,ins0000002,ctr000001
cid0000013,1946,2,428,"Spartakovskaia, 21",Moscow,55.77323586956071,37.67796359405088,"The data on the cinema's address and capacity is based on the 1947 record, the data on the cinema's run is based on the 1948 record.",,True,cin0000013,ins0000002,ctr000001
cid0000014,1946,3,314,"Pliushchikha, 11",Moscow,55.74452,37.579277,"The data on the cinema's address and capacity is based on the 1947 record, the data on the cinema's run is based on the 1948 record.",,True,cin0000014,ins0000002,ctr000001
cid0000015,1946,2,466,"Ul. Gertsena, 23",Moscow,55.757288,37.599238,"The data on the cinema's address and capacity is based on the 1947 record, the data on the cinema's run is based on 1948 record.","specialized, re-run cinema",True,cin0000015,ins0000002,ctr000001
