film_id,country_id
flm0000001,ctr000001
flm0000002,ctr000001
flm0000003,ctr000001
flm0000004,ctr000001
flm0000005,ctr000001
flm0000006,ctr000001
flm0000008,ctr000001
flm0000009,ctr000001
flm0000011,ctr000001
flm0000012,ctr000001
flm0000013,ctr000001
flm0000014,ctr000001
flm0000015,ctr000001
flm0000016,ctr000001
flm0000017,ctr000001
flm0000018,ctr000001
flm0000019,ctr000001
flm0000020,ctr000001
flm0000022,ctr000001
flm0000023,ctr000001
flm0000024,ctr000001
flm0000025,ctr000001
flm0000026,ctr000001
flm0000027,ctr000001
flm0000028,ctr000001
flm0000029,ctr000001
flm0000030,ctr000001
flm0000031,ctr000001
flm0000032,ctr000001
flm0000033,ctr000001
flm0000034,ctr000001
flm0000035,ctr000001
flm0000036,ctr000001
flm0000037,ctr000001
flm0000038,ctr000001
flm0000039,ctr000001
flm0000040,ctr000001
flm0001516,ctr000001
flm0000041,ctr000001
flm0000042,ctr000001
flm0000043,ctr000001
flm0000044,ctr000001
flm0000045,ctr000001
flm0000046,ctr000001
flm0000047,ctr000001
flm0000048,ctr000001
flm0000049,ctr000001
flm0000050,ctr000001
flm0000051,ctr000001
flm0000052,ctr000001
flm0000053,ctr000001
flm0000054,ctr000001
flm0000055,ctr000001
flm0000056,ctr000001
flm0000057,ctr000001
flm0000058,ctr000001
flm0000059,ctr000001
flm0000060,ctr000001
flm0000062,ctr000001
flm0000063,ctr000001
flm0000064,ctr000001
flm0000065,ctr000001
flm0000066,ctr000001
flm0000067,ctr000001
flm0000068,ctr000001
flm0000069,ctr000001
flm0000070,ctr000001
flm0000071,ctr000001
flm0000072,ctr000001
flm0000073,ctr000001
flm0000074,ctr000001
flm0000075,ctr000001
flm0000076,ctr000001
flm0000077,ctr000001
flm0000078,ctr000001
flm0000080,ctr000001
flm0000081,ctr000001
flm0001790,ctr000001
flm0000083,ctr000001
flm0000084,ctr000001
flm0000086,ctr000001
flm0000087,ctr000001
flm0000088,ctr000001
flm0000090,ctr000001
flm0000091,ctr000001
flm0000092,ctr000001
flm0000093,ctr000001
flm0000094,ctr000001
flm0000095,ctr000001
flm0000096,ctr000001
flm0000097,ctr000001
flm0000098,ctr000001
flm0000099,ctr000001
flm0000100,ctr000001
flm0000101,ctr000001
flm0000102,ctr000001
flm0000103,ctr000001
flm0000104,ctr000001
flm0000105,ctr000001
flm0000106,ctr000001
flm0000107,ctr000001
flm0000108,ctr000001
flm0000109,ctr000001
flm0000110,ctr000001
flm0000111,ctr000001
flm0000112,ctr000001
flm0000113,ctr000001
flm0000114,ctr000001
flm0000115,ctr000001
flm0000116,ctr000001
flm0000117,ctr000001
flm0000118,ctr000001
flm0000119,ctr000001
flm0000120,ctr000001
flm0000121,ctr000001
flm0000123,ctr000001
flm0000124,ctr000001
flm0000125,ctr000001
flm0000126,ctr000001
flm0000128,ctr000001
flm0000129,ctr000001
flm0000130,ctr000001
flm0000131,ctr000001
flm0000132,ctr000001
flm0000133,ctr000001
flm0000134,ctr000001
flm0000135,ctr000001
flm0000136,ctr000001
flm0000138,ctr000001
flm0000139,ctr000001
flm0000140,ctr000001
flm0000141,ctr000001
flm0000142,ctr000001
flm0000143,ctr000001
flm0000145,ctr000001
flm0000146,ctr000001
flm0000147,ctr000001
flm0000148,ctr000001
flm0000149,ctr000001
flm0000150,ctr000001
flm0000151,ctr000001
flm0000152,ctr000001
