person_id,person_name,IMDb_ID
per0000001,Yevgeny Gabrilovich,nm0300382
per0000002,Mikhail Vitukhnovsky,nm0900172
per0000003,Yakov Yaluner,nm1160727
per0000004,Felix Jackson,nm0413519
per0000005,Ernst Marischka,nm0548094
per0000006,Bruce Manning,nm0543243
per0000007,Sabit Rakhman,nm1150609
per0000008,Uzeyir Hajibayov,nm0354495
per0000009,Rudyard Kipling,nm0456017
per0000010,Laurence Stallings,nm0821716
per0000011,Aleksei Speshnyov,nm0818385
per0000012,Sabir Abdulla,nm11434691
per0000013,Anna Antonovskaya,nm0031481
per0000014,Boris Chyornyj,nm0161601
per0000015,Vasili Lokot,nm0518108
per0000016,Aleksandr Ivanov,nm0412017
per0000017,Pyotr Pavlenko,nm0667698
per0000018,Leonid Tur,nm1718042
per0000019,Lev Sheynin,nm0790920
per0000020,Pyotr Tur,nm0876826
per0000021,Yevgeni Petrov,nm0678205
per0000022,Leonid Leonov,nm0503088
per0000023,Boris Chirskov,nm0158189
per0000024,Leonid Solovyov,nm0813528
per0000025,Nikolai Brykin,nm0117375
per0000026,Vladimir Nedobrovo,nm0624048
per0000027,Lev Linkov,nm8408465
per0000028,Helen Logan,nm0517567
per0000029,Art Arthur,nm0037734
per0000030,Robert Ellis,nm0000252
per0000031,Viktor Gusev,nm0348854
per0000032,Georgiy Kubanskiy,nm11414686
per0000033,Borys Lewin,nm0505554
per0000034,David Dell,nm0217304
per0000035,Georgiy Grebner,nm0337385
per0000036,Nikolai Ravich,nm0712443
per0000037,Giorgi Mdivani,nm0574841
per0000038,Manuel Bolshintsov,nm0093299
per0000039,Mikhail Bleiman,nm0086452
per0000040,Iosif Prut,nm0699305
per0000041,Aleksandr Zarkhi,nm0953516
per0000042,Iosif Kheifits,nm0451576
per0000043,Ekaterina Vinogradskaya,nm0899066
per0000044,Aleksandr Korneychuk,nm0466437
per0000045,Igor Savchenko,nm0767514
per0000046,Boris Voytekhov,nm0903911
per0000047,Aleksandr Shtein,nm0795479
per0000048,Iogann Zeltser,nm0954691
per0000049,Taisiya Zlatogorova,nm0957433
per0000050,Aleksei Kapler,nm0438412
per0000051,Nikolay Pogodin,nm0688238
per0000052,Georgi Vasilyev,nm0890567
per0000053,Sergey Vasilev,nm0890574
per0000054,Vladimir Petrov,nm0678203
per0000055,Aleksei Tolstoy,nm0866238
per0000056,Vladimir Solovyov,nm0813517
per0000057,Anna Furmanova,nm0298997
per0000058,Dimitri Furmanov,nm0298998
per0000059,Lev Arnshtam,nm0036769
per0000060,Raisa Vasilyeva,nm0890604
per0000061,Mark Donskoy,nm0233091
per0000062,Nikolai Ostrovsky,nm0652542
per0000063,Sergey Gerasimov,nm0314046
per0000064,Agniya Barto,nm0058969
per0000065,Oleg Leonidov,nm0503070
per0000066,Robert Louis Stevenson,nm0829044
per0000067,Vladimir Vaynshtok,nm0883357
per0000068,Konstantin Simonov,nm0800659
per0000069,Nathan Zarkhi,nm0953515
per0000070,Vsevolod Vishnevskiy,nm0899551
per0000071,Konstantin Paustovsky,nm0667494
per0000072,O. Meleg,nm2964227
per0000073,Sergey Yevlakov,nm2963189
per0000074,Kuzma Gorbunov,nm2962510
per0000075,Vladimir Shvejtser,nm0796074
per0000076,Yakov Protazanov,nm0698839
per0000077,Aleksandr Ostrovskiy,nm0652534
per0000078,Aleksei Fajko,nm0265777
per0000079,Anatoli Granberg,nm0334705
per0000080,Samuel Hoffenstein,nm0388755
per0000081,Elizabeth Reinhardt,nm0718101
per0000082,Aleksandr Dovzhenko,nm0235590
per0000083,V. Agatov,nm12693629
per0000084,Valentin Kataev,nm0441188
per0000085,Gennadi Fish,nm0279275
per0000086,Yuri Muzykant,nm0616268
per0000087,Rafail Muzykant,nm0616267
per0000088,Leonid Trauberg,nm0871185
per0000089,Grigoriy Kozintsev,nm0468882
per0000090,Arthur Pohl,nm0688327
per0000091,Heino Brandes,nm1206478
per0000092,Vyacheslav Gordanov,nm0329867
per0000093,Mikhail Lermontov,nm0503581
per0000094,George Seaton,nm0780833
per0000095,Brandon Thomas,nm0858557
per0000096,Niven Busch,nm0124002
per0000097,Sonya Levien,nm0397022
per0000098,Lamar Trotti,nm0873707
per0000099,Viktor Vitkovich,nm0900037
per0000100,Sergei Yermolinsky,nm0947640
per0000101,Maxim Gorky,nm0331003
per0000102,Dudley Nichols,nm0629580
per0000103,Charles Nordhoff,nm0635079
per0000104,Oliver H.P. Garrett,nm0308177
per0000105,Mukhtar Auezov,nm1057834
per0000106,Grigoriy Roshal,nm0742914
per0000107,Wanda Wasilewska,nm0890513
per0000108,Yuli Raizman,nm0707264
per0000109,Mykola Shpykovskyi,nm0794119
per0000110,Boris Gorbatov,nm0329797
per0000111,J. Murray-Smith,nm5135768
per0000112,S. Skytev,nm0804391
per0000113,Nikolay Erdman,nm0258755
per0000114,Mikhail Volpin,nm0901776
per0000115,Sergei Eisenstein,nm0001178
per0000116,Aleksandr Zguridi,nm0955297
per0000117,Leonid Glazychev,nm1715554
per0000118,Pavel Golikov,nm12223903
per0000119,Pavel Nilin,nm0632064
per0000120,Victor Hugo,nm0401076
per0000121,Georgiy Shakhovskoy,nm1249098
per0000122,Esfir Shub,nm0795528
per0000123,R.C. Sherriff,nm0792670
per0000124,Walter Reisch,nm0281556
per0000125,Lev Slavin,nm0805590
per0000126,Isidor Annensky,nm0029363
per0000127,Anton Chekhov,nm0155009
per0000128,Paul Jarrico,nm0418972
per0000129,Leo Mittler,nm0594177
per0000130,Richard Collins,nm0172628
per0000131,Ilya Ilf,nm0407633
per0000132,Grigoriy Aleksandrov,nm0017893
per0000133,Isaak Babel,nm0044871
per0000134,Aleksandr Stolper,nm0831590
per0000135,Dore Schary,nm0770196
per0000136,Talbot Jennings,nm0421255
per0000137,Bradbury Foote,nm0285199
per0000138,Igor Lukovskiy,nm0525729
per0000139,Nadezhda Kosheverova,nm0467035
per0000140,Mikhail Shapiro,nm0788572
per0000141,Frank Partos,nm0664022
per0000142,Jacques Bachrach,nm0045553
per0000143,Edwin Justus Mayer,nm0562372
per0000144,Georgi Munblit,nm0612646
per0000145,Sergei Antonov,nm0031455
per0000146,Boris Agapov,nm3231022
per0000147,Mikhail Saltykov-Shchedrin,nm0759137
per0000148,Konstantin Derzhavin,nm0220400
per0000149,Aleksandr Ivanovsky,nm0412159
per0000150,John Collier,nm0171924
per0000151,Ákos Tolnay,nm0866183
per0000152,Georgi Tasin,nm0850906
per0000153,Vladimir Sukhodolskiy,nm11424888
per0000154,Olga Kutzova,nm11167432
per0000155,Yelena Naviazhskaia,nm11167433
per0000156,V. Shkarovskiy,nm7323345
per0000157,Mikhail Romm,nm0739677
per0000158,Guy de Maupassant,nm0560943
per0000159,Alexander Pushkin,nm0701090
per0000160,Valentin Turkin,nm0877201
per0000161,Fyodor Otsep,nm0652974
per0000162,William Absalom Drake,nm0237033
per0000163,Sid Kuller,nm0474657
per0000164,M.M. Musselman,nm0615842
per0000165,Vasily Zhuravlyov,nm0955901
per0000166,Jules Verne,nm0894523
per0000167,Evgeniy Pomeshchikov,nm0690127
per0000168,Semyon Timoshenko,nm0863780
per0000169,Bernice Mason,nm0556597
per0000170,Sy Bartlett,nm0058905
per0000171,Frances Hyland,nm0405081
per0000172,Ilya Gruzdev,nm0344687
per0000173,Yan Frid,nm0294850
per0000174,Grigoriy Koltunov,nm0464440
per0000175,Konstantin Stanyukovich,nm0822851
per0000176,Pavel Bazhov,nm0063323
per0000177,Iosif Keller,nm0445661
per0000178,Vladimir Nilsen,nm0632120
