title (original),IMDB id,film_id,IMDB_url,Directors,Writers,Actors,Country of origin,Duration (min),Year of Production
Разгром милитаристской Японии,tt0171687,flm0000001,https://www.imdb.com/title/tt0171687/,"[('nm0451576', 'Iosif Kheifits'), ('nm0953516', 'Aleksandr Zarkhi')]","[('nm0300382', 'Yevgeny Gabrilovich')]",[],['SUHH'],67,['1945']
Близнецы,tt0039925,flm0000002,https://www.imdb.com/title/tt0039925/,"[('nm0950662', 'Konstantin Yudin')]","[('nm0900172', 'Mikhail Vitukhnovsky'), ('nm1160727', 'Yakov Yaluner')]","[('nm0795328', 'Pavel Shpringfeld'), ('nm0299534', 'Inna Fyodorova'), ('nm0878390', 'Andrey Tutyshkin'), ('nm0874899', 'Lyudmila Tselikovskaya'), ('nm0667783', 'Dmitri Pavlov'), ('nm0955541', 'Mikhail Zharov'), ('nm0841249', 'Georgiy Svetlani'), ('nm0890609', 'Vera Vasileva'), ('nm0815122', 'Konstantin Sorokin'), ('nm0650152', 'Vera Orlova'), ('nm0510248', 'Yelizaveta Lilina'), ('nm0340816', 'Vladimir Gribkov'), ('nm0625986', 'Svetlana Nemolyaeva'), ('nm0840935', 'Semyon Svashenko'), ('nm0615491', 'Irina Murzayeva'), ('nm0054718', 'Tatyana Barysheva')]",['SUHH'],83,['1945']
"Специальный киновыпуск ""Челси"" - ""Динамо""",,flm0000003,,,,,,,
"Специальный киновыпуск ""Кардифф-Сити"" - ""Динамо""",,flm0000004,,,,,,,
"Специальный выпуск ""Ренджерс"" - ""Динамо""",,flm0000005,,,,,,,
Новости дня № 44 1946 г.,,flm0000006,,,,,,,
Spring Parade,tt0033095,flm0000007,https://www.imdb.com/title/tt0033095/,"[('nm0467396', 'Henry Koster')]","[('nm0543243', 'Bruce Manning'), ('nm0413519', 'Felix Jackson'), ('nm0548094', 'Ernst Marischka')]","[('nm0827261', 'Henry Stephenson'), ('nm0430870', 'Allyn Joslyn'), ('nm0114004', 'Kenneth Brown'), ('nm0010333', 'Eddie Acuff'), ('nm0067589', 'Leon Belasco'), ('nm0002052', 'Deanna Durbin'), ('nm0659427', 'Franklin Pangborn'), ('nm0602955', 'Peggy Moran'), ('nm0307324', 'Edward Gargan'), ('nm0385594', 'Samuel S. Hinds'), ('nm0191950', 'Robert Cummings'), ('nm0041681', 'Mischa Auer'), ('nm0350374', 'Anne Gwynne'), ('nm0098424', 'Wade Boteler'), ('nm0219666', 'Reginald Denny'), ('nm0757064', 'S.Z. Sakall'), ('nm0146185', 'Walter Catlett'), ('nm0501886', 'Billy Lenhart')]",['US'],89,['1940']
Аршин Мал-Алан,tt0037520,flm0000008,https://www.imdb.com/title/tt0037520/,"[('nm0503950', 'Nikolay Leshchenko'), ('nm0847641', 'Rza Takhmasib')]","[('nm1150609', 'Sabit Rakhman'), ('nm0354495', 'Uzeyir Hajibayov')]","[('nm0067133', 'Rashid Behbudov'), ('nm1174042', 'Fatma Mehraliyeva'), ('nm0435520', 'Munavar Kalantarli'), ('nm0951724', 'Husein Zade'), ('nm0615945', 'R. Mustafayeva'), ('nm0246139', 'Leyla Badirbayli'), ('nm0008710', 'Lütfäli Abdullayev'), ('nm1135117', 'Mirzaagha Aliyev'), ('nm0250549', 'Ismail Efendiyev'), ('nm0348892', 'Alakbar Huseynzade')]",['SUHH'],96,['1945']
Лыжный спорт,,flm0000009,,,,,,,
The Little Foxes,tt0034928,flm0000010,https://www.imdb.com/title/tt0034928/,"[('nm0466113', 'Zoltan Korda')]","[('nm0821716', 'Laurence Stallings'), ('nm0456017', 'Rudyard Kipling')]","[('nm0700084', 'Frank Puglia'), ('nm4463539', 'Baloo'), ('nm4463511', 'Hathi'), ('nm0111623', 'Faith Brook'), ('nm4463537', 'Shere Khan'), ('nm0787573', 'Nick Shaid'), ('nm4463526', 'Kaa'), ('nm0000305', 'Mel Blanc'), ('nm0754942', 'Sabu'), ('nm0702798', 'John Qualen'), ('nm0130407', 'Joseph Calleia'), ('nm0642571', 'Patricia O&#x27;Rourke'), ('nm0126049', 'Ralph Byrd'), ('nm0558455', 'John Mather'), ('nm2204169', 'Bagheera'), ('nm0425903', 'Noble Johnson'), ('nm0047008', 'Rama Bai'), ('nm0213619', 'Rosemary DeCamp')]","['US', 'GB']",108,['1942']
Тахир и Зухра,tt0237800,flm0000011,https://www.imdb.com/title/tt0237800/,"[('nm0304400', 'Nabi Ganiyev'), ('nm0013815', 'Yuldash Agzamov')]","[('nm11434691', 'Sabir Abdulla'), ('nm0818385', 'Aleksei Speshnyov')]","[('nm11434688', 'Zebo Ganieyeva'), ('nm1176696', 'Saat Talipov'), ('nm0451140', 'Razzak Khamrayev'), ('nm1290813', 'Gulyam Aglayev'), ('nm0121969', 'Shukur Burkhanov'), ('nm1817245', 'Khaila Ganiyeva'), ('nm6723411', 'Abror Hidoyatov'), ('nm11434689', 'Eson Karimov'), ('nm0439317', 'Ergash Karimov'), ('nm0875059', 'Rakhim Pirmukhamedov'), ('nm5152539', 'Mashrab Yunusov'), ('nm11434690', 'Venera Kariyakubova'), ('nm1294636', 'Yuldus Rysayeva'), ('nm0845979', 'Sagdi Tabibullayev'), ('nm0955314', 'Abid Dshalilov'), ('nm1251775', 'N. Ishmukhamedov'), ('nm0411357', 'Asad Ismatov'), ('nm0490466', 'Khikmat Latypov')]",['SUHH'],92,['1945']
