title (original),IMDB id,film_id,IMDB_url,Directors,Writers,Actors,Country of origin,Duration (min),Year of Production
Разгром милитаристской Японии,tt0171687,flm0000001,https://www.imdb.com/title/tt0171687/,,,,,,
Близнецы,tt0039925,flm0000002,https://www.imdb.com/title/tt0039925/,,,,,,
"Специальный киновыпуск ""Челси"" - ""Динамо""",,flm0000003,,,,,,,
"Специальный киновыпуск ""Кардифф-Сити"" - ""Динамо""",,flm0000004,,,,,,,
"Специальный выпуск ""Ренджерс"" - ""Динамо""",,flm0000005,,,,,,,
Новости дня № 44 1946 г.,,flm0000006,,,,,,,
Spring Parade,tt0033095,flm0000007,https://www.imdb.com/title/tt0033095/,,,,,,
Аршин Мал-Алан,tt0037520,flm0000008,https://www.imdb.com/title/tt0037520/,,,,,,
Лыжный спорт,,flm0000009,,,,,,,
The Little Foxes,tt0034928,flm0000010,https://www.imdb.com/title/tt0034928/,,,,,,
Тахир и Зухра,tt0237800,flm0000011,https://www.imdb.com/title/tt0237800/,,,,,,
Георгий Саакадзе 2 серия,tt0034781,flm0000012,https://www.imdb.com/title/tt0034781/,,,,,,
Девушка спешит на свидание,tt0027522,flm0000013,https://www.imdb.com/title/tt0027522/,,,,,,
На границе,tt0030489,flm0000014,https://www.imdb.com/title/tt0030489/,,,,,,
Поединок,tt0037914,flm0000015,https://www.imdb.com/title/tt0037914/,,,,,,
Воздушный извозчик,tt0037353,flm0000016,https://www.imdb.com/title/tt0037353/,,,,,,
Нашествие,tt0037937,flm0000017,https://www.imdb.com/title/tt0037937/,,,,,,
Я - черноморец,tt2651000,flm0000018,https://www.imdb.com/title/tt2651000/,,,,,,
Разгром Юденича,tt0034084,flm0000019,https://www.imdb.com/title/tt0034084/,,,,,,
Морской пост,tt6027678,flm0000020,https://www.imdb.com/title/tt6027678/,,,,,,
Sun Valley Serenade,tt0034241,flm0000021,https://www.imdb.com/title/tt0034241/,,,,,,
В шесть часов вечера после войны,tt0037423,flm0000022,https://www.imdb.com/title/tt0037423/,,,,,,
Мужество,tt0031687,flm0000023,https://www.imdb.com/title/tt0031687/,,,,,,
Извержение Везувия,,flm0000024,,,,,,,
Яков Свердлов,tt0033277,flm0000025,https://www.imdb.com/title/tt0033277/,,,,,,
Суворов,tt0033118,flm0000026,https://www.imdb.com/title/tt0033118/,,,,,,
Футболисты,,flm0000027,,,,,,,
Небо Москвы,tt0037122,flm0000028,https://www.imdb.com/title/tt0037122/,,,,,,
Моя любовь,tt0032812,flm0000029,https://www.imdb.com/title/tt0032812/,,,,,,
Новости дня № 45 1946 г.,,flm0000030,,,,,,,
Новости дня № 46 1946 г.,,flm0000031,,,,,,,
Свинарка и пастух,tt0034249,flm0000032,https://www.imdb.com/title/tt0034249/,,,,,,
Член правительства,tt0032337,flm0000033,https://www.imdb.com/title/tt0032337/,,,,,,
Партизаны в степях Украины,tt1346998,flm0000034,https://www.imdb.com/title/tt1346998/,,,,,,
Малахов Курган,tt0037043,flm0000035,https://www.imdb.com/title/tt0037043/,,,,,,
Подводная лодка Т-9,tt1767363,flm0000036,https://www.imdb.com/title/tt1767363/,,,,,,
Ленин в 1918 году,tt0031564,flm0000037,https://www.imdb.com/title/tt0031564/,,,,,,
Ленин в Октябре,tt0029132,flm0000038,https://www.imdb.com/title/tt0029132/,,,,,,
Человек с ружьем,tt0029986,flm0000039,https://www.imdb.com/title/tt0029986/,,,,,,
Оборона Царицына,tt0035142,flm0000040,https://www.imdb.com/title/tt0035142/,,,,,,
Она защищает Родину,tt0036236,flm0000041,https://www.imdb.com/title/tt0036236/,,,,,,
Петр Первый 2 серия,tt0029405,flm0000042,https://www.imdb.com/title/tt0029405/,,,,,,
Кутузов,tt0036572,flm0000043,https://www.imdb.com/title/tt0036572/,,,,,,
Чапаев,tt0024966,flm0000044,https://www.imdb.com/title/tt0024966/,,,,,,
Зоя,tt0037482,flm0000045,https://www.imdb.com/title/tt0037482/,,,,,,
Подруги,tt0026874,flm0000046,https://www.imdb.com/title/tt0026874/,,,,,,
Будапешт,,flm0000047,,,,,,,
Вена,,flm0000048,,,,,,,
Как закалялась сталь,tt0034932,flm0000049,https://www.imdb.com/title/tt0034932/,,,,,,
Большая земля,tt0036657,flm0000050,https://www.imdb.com/title/tt0036657/,,,,,,
Жила-была девочка,tt0037479,flm0000051,https://www.imdb.com/title/tt0037479/,,,,,,
Всесоюзный парад физкультурников 1945 г.,tt6638210,flm0000052,https://www.imdb.com/title/tt6638210/,,,,,,
Слон и веревочка,tt0170584,flm0000053,https://www.imdb.com/title/tt0170584/,,,,,,
Остров сокровищ,tt0029356,flm0000054,https://www.imdb.com/title/tt0029356/,,,,,,
Дни и ночи,tt0037646,flm0000055,https://www.imdb.com/title/tt0037646/,,,,,,
Победа,tt0030594,flm0000056,https://www.imdb.com/title/tt0030594/,,,,,,
Лермонтов,tt0037015,flm0000057,https://www.imdb.com/title/tt0037015/,,,,,,
Комендант птичьего острова,tt0022065,flm0000058,https://www.imdb.com/title/tt0022065/,,,,,,
Бесприданница,tt0028622,flm0000059,https://www.imdb.com/title/tt0028622/,,,,,,
Сердца четырех,tt0038533,flm0000060,https://www.imdb.com/title/tt0038533/,,,,,,
His Butler's Sister,tt0036001,flm0000061,https://www.imdb.com/title/tt0036001/,,,,,,
Ленинград в борьбе,tt0034971,flm0000062,https://www.imdb.com/title/tt0034971/,,,,,,
Щорс,tt0031919,flm0000063,https://www.imdb.com/title/tt0031919/,,,,,,
