periodic_issue,periodic_url,periodic_url_programme,periodic_date,is_programme
"Вечерняя Москва, газета Московского городского комитета ВКП(б) и Моссовета, 1946, № 1 (6672), 1 января",https://electro.nekrasovka.ru/books/6163865/pages/1,https://api.electro.nekrasovka.ru/api/books/6163865/pages/4/img/original,1946/1/1,1
"Вечерняя Москва, газета Московского городского комитета ВКП(б) и Моссовета, 1946, № 2 (6673), 2 января",https://electro.nekrasovka.ru/books/6163866/pages/1,https://api.electro.nekrasovka.ru/api/books/6163866/pages/4/img/original,1946/1/2,1
"Вечерняя Москва, газета Московского городского комитета ВКП(б) и Моссовета, 1946, № 3 (6674), 3 января",https://electro.nekrasovka.ru/books/6163867/pages/1,https://api.electro.nekrasovka.ru/api/books/6163867/pages/4/img/original,1946/1/3,1
"Вечерняя Москва, газета Московского городского комитета ВКП(б) и Моссовета, 1946, № 4 (6675), 4 января",https://electro.nekrasovka.ru/books/6163868/pages/1,https://api.electro.nekrasovka.ru/api/books/6163868/pages/4/img/original,1946/1/4,1
"Вечерняя Москва, газета Московского городского комитета ВКП(б) и Моссовета, 1946, № 5 (6676), 5 января",https://electro.nekrasovka.ru/books/6163869/pages/1,https://api.electro.nekrasovka.ru/api/books/6163869/pages/4/img/original,1946/1/5,0
"Вечерняя Москва, газета Московского городского комитета ВКП(б) и Моссовета, 1946, № 6 (6677), 7 января",https://electro.nekrasovka.ru/books/6163870/pages/1,https://api.electro.nekrasovka.ru/api/books/6163870/pages/4/img/original,1946/1/7,1
"Вечерняя Москва, газета Московского городского комитета ВКП(б) и Моссовета, 1946, № 7 (6678), 8 января",https://electro.nekrasovka.ru/books/6163871/pages/1,https://api.electro.nekrasovka.ru/api/books/6163871/pages/4/img/original,1946/1/8,1
"Вечерняя Москва, газета Московского городского комитета ВКП(б) и Моссовета, 1946, № 9 (6680), 10 января",https://electro.nekrasovka.ru/books/6163872/pages/1,https://api.electro.nekrasovka.ru/api/books/6163872/pages/4/img/original,1946/1/10,1
"Вечерняя Москва, газета Московского городского комитета ВКП(б) и Моссовета, 1946, № 10 (6681), 11 января",https://electro.nekrasovka.ru/books/6163873/pages/1,https://api.electro.nekrasovka.ru/api/books/6163873/pages/4/img/original,1946/1/11,1
"Вечерняя Москва, газета Московского городского комитета ВКП(б) и Моссовета, 1946, № 11 (6682), 12 января",https://electro.nekrasovka.ru/books/6163874/pages/1,https://api.electro.nekrasovka.ru/api/books/6163874/pages/4/img/original,1946/1/12,0
"Вечерняя Москва, газета Московского городского комитета ВКП(б) и Моссовета, 1946, № 12 (6683), 14 января",https://electro.nekrasovka.ru/books/6163875/pages/1,https://api.electro.nekrasovka.ru/api/books/6163875/pages/4/img/original,1946/1/14,1
"Вечерняя Москва, газета Московского городского комитета ВКП(б) и Моссовета, 1946, № 13 (6684), 15 января",https://electro.nekrasovka.ru/books/6163876/pages/1,https://api.electro.nekrasovka.ru/api/books/6163876/pages/4/img/original,1946/1/15,1
"Вечерняя Москва, газета Московского городского комитета ВКП(б) и Моссовета, 1946, № 14 (6685), 16 января",https://electro.nekrasovka.ru/books/6163883/pages/1,https://api.electro.nekrasovka.ru/api/books/6163883/pages/4/img/original,1946/1/16,1
"Вечерняя Москва, газета Московского городского комитета ВКП(б) и Моссовета, 1946, № 15 (6686), 17 января",https://electro.nekrasovka.ru/books/6163884/pages/1,https://api.electro.nekrasovka.ru/api/books/6163884/pages/4/img/original,1946/1/17,1
"Вечерняя Москва, газета Московского городского комитета ВКП(б) и Моссовета, 1946, № 16 (6687), 18 января",https://electro.nekrasovka.ru/books/6163885/pages/1,https://api.electro.nekrasovka.ru/api/books/6163885/pages/4/img/original,1946/1/18,1
"Вечерняя Москва, газета Московского городского комитета ВКП(б) и Моссовета, 1946, № 18 (6689), 21 января",https://electro.nekrasovka.ru/books/6163886/pages/1,https://api.electro.nekrasovka.ru/api/books/6163886/pages/4/img/original,1946/1/21,1
"Вечерняя Москва, газета Московского городского комитета ВКП(б) и Моссовета, 1946, № 19 (6690), 22 января",https://electro.nekrasovka.ru/books/6163887/pages/1,https://api.electro.nekrasovka.ru/api/books/6163887/pages/4/img/original,1946/1/22,1
"Вечерняя Москва, газета Московского городского комитета ВКП(б) и Моссовета, 1946, № 20 (6691), 24 января",https://electro.nekrasovka.ru/books/6163888/pages/1,https://api.electro.nekrasovka.ru/api/books/6163888/pages/4/img/original,1946/1/24,1
"Вечерняя Москва, газета Московского городского комитета ВКП(б) и Моссовета, 1946, № 21 (6692), 25 января",https://electro.nekrasovka.ru/books/6163889/pages/1,https://api.electro.nekrasovka.ru/api/books/6163889/pages/4/img/original,1946/1/25,1
"Вечерняя Москва, газета Московского городского комитета ВКП(б) и Моссовета, 1946, № 22 (6693), 26 января",https://electro.nekrasovka.ru/books/6163890/pages/1,https://api.electro.nekrasovka.ru/api/books/6163890/pages/4/img/original,1946/1/26,0
"Вечерняя Москва, газета Московского городского комитета ВКП(б) и Моссовета, 1946, № 23 (6694), 28 января",https://electro.nekrasovka.ru/books/6163891/pages/1,https://api.electro.nekrasovka.ru/api/books/6163891/pages/4/img/original,1946/1/28,1
"Вечерняя Москва, газета Московского городского комитета ВКП(б) и Моссовета, 1946, № 24 (6695), 29 января",https://electro.nekrasovka.ru/books/6163892/pages/1,https://api.electro.nekrasovka.ru/api/books/6163892/pages/4/img/original,1946/1/29,1
"Вечерняя Москва, газета Московского городского комитета ВКП(б) и Моссовета, 1946, № 25 (6696), 30 января",https://electro.nekrasovka.ru/books/6163893/pages/1,https://api.electro.nekrasovka.ru/api/books/6163893/pages/4/img/original,1946/1/30,1
"Вечерняя Москва, газета Московского городского комитета ВКП(б) и Моссовета, 1946, № 26 (6697), 31 января",https://electro.nekrasovka.ru/books/6163894/pages/1,https://api.electro.nekrasovka.ru/api/books/6163894/pages/4/img/original,1946/1/31,1
"Вечерняя Москва, газета Московского городского комитета ВКП(б) и Моссовета, 1946, № 27 (6698), 1 февраля",https://electro.nekrasovka.ru/books/6163895/pages/1,https://api.electro.nekrasovka.ru/api/books/6163895/pages/4/img/original,1946/2/1,1
"Вечерняя Москва, газета Московского городского комитета ВКП(б) и Моссовета, 1946, № 28 (6699), 2 февраля",https://electro.nekrasovka.ru/books/6163896/pages/1,https://api.electro.nekrasovka.ru/api/books/6163896/pages/4/img/original,1946/2/2,0
"Вечерняя Москва, газета Московского городского комитета ВКП(б) и Моссовета, 1946, № 29 (6700), 4 февраля",https://electro.nekrasovka.ru/books/6163897/pages/1,https://api.electro.nekrasovka.ru/api/books/6163897/pages/4/img/original,1946/2/4,1
"Вечерняя Москва, газета Московского городского комитета ВКП(б) и Моссовета, 1946, № 30 (6701), 5 февраля",https://electro.nekrasovka.ru/books/6163898/pages/1,https://api.electro.nekrasovka.ru/api/books/6163898/pages/4/img/original,1946/2/5,1
"Вечерняя Москва, газета Московского городского комитета ВКП(б) и Моссовета, 1946, № 31 (6702), 6 февраля",https://electro.nekrasovka.ru/books/6163899/pages/1,https://api.electro.nekrasovka.ru/api/books/6163899/pages/4/img/original,1946/2/6,1
"Вечерняя Москва, газета Московского городского комитета ВКП(б) и Моссовета, 1946, № 32 (6703), 7 февраля",https://electro.nekrasovka.ru/books/6163900/pages/1,https://api.electro.nekrasovka.ru/api/books/6163900/pages/4/img/original,1946/2/7,1
"Вечерняя Москва, газета Московского городского комитета ВКП(б) и Моссовета, 1946, № 33 (6704), 8 февраля",https://electro.nekrasovka.ru/books/6163901/pages/1,https://api.electro.nekrasovka.ru/api/books/6163901/pages/4/img/original,1946/2/8,1
"Вечерняя Москва, газета Московского городского комитета ВКП(б) и Моссовета, 1946, № 34 (6705), 9 февраля",https://electro.nekrasovka.ru/books/6163902/pages/1,https://api.electro.nekrasovka.ru/api/books/6163902/pages/4/img/original,1946/2/9,0
"Вечерняя Москва, газета Московского городского комитета ВКП(б) и Моссовета, 1946, № 35 (6706), 10 февраля",https://electro.nekrasovka.ru/books/6163903/pages/1,https://api.electro.nekrasovka.ru/api/books/6163903/pages/4/img/original,1946/2/10,0
"Вечерняя Москва, газета Московского городского комитета ВКП(б) и Моссовета, 1946, № 36 (6707), 11 февраля",https://electro.nekrasovka.ru/books/6163904/pages/1,https://api.electro.nekrasovka.ru/api/books/6163904/pages/4/img/original,1946/2/11,0
"Вечерняя Москва, газета Московского городского комитета ВКП(б) и Моссовета, 1946, № 37 (6708), 12 февраля",https://electro.nekrasovka.ru/books/6163905/pages/1,https://api.electro.nekrasovka.ru/api/books/6163905/pages/4/img/original,1946/2/12,1
"Вечерняя Москва, газета Московского городского комитета ВКП(б) и Моссовета, 1946, № 38 (6709), 13 февраля",https://electro.nekrasovka.ru/books/6163906/pages/1,https://api.electro.nekrasovka.ru/api/books/6163906/pages/4/img/original,1946/2/13,1
"Вечерняя Москва, газета Московского городского комитета ВКП(б) и Моссовета, 1946, № 39 (6710), 14 февраля",https://electro.nekrasovka.ru/books/6163907/pages/1,https://api.electro.nekrasovka.ru/api/books/6163907/pages/4/img/original,1946/2/14,1
"Вечерняя Москва, газета Московского городского комитета ВКП(б) и Моссовета, 1946, № 40 (6711), 16 февраля",https://electro.nekrasovka.ru/books/6163908/pages/1,https://api.electro.nekrasovka.ru/api/books/6163908/pages/4/img/original,1946/2/16,0
"Вечерняя Москва, газета Московского городского комитета ВКП(б) и Моссовета, 1946, № 41 (6712), 18 февраля",https://electro.nekrasovka.ru/books/6163909/pages/1,https://api.electro.nekrasovka.ru/api/books/6163909/pages/4/img/original,1946/2/18,1
"Вечерняя Москва, газета Московского городского комитета ВКП(б) и Моссовета, 1946, № 42 (6713), 19 февраля",https://electro.nekrasovka.ru/books/6163910/pages/1,https://api.electro.nekrasovka.ru/api/books/6163910/pages/4/img/original,1946/2/19,1
"Вечерняя Москва, газета Московского городского комитета ВКП(б) и Моссовета, 1946, № 43 (6714), 20 февраля",https://electro.nekrasovka.ru/books/6163911/pages/1,https://api.electro.nekrasovka.ru/api/books/6163911/pages/4/img/original,1946/2/20,1
"Вечерняя Москва, газета Московского городского комитета ВКП(б) и Моссовета, 1946, № 44 (6715), 21 февраля",https://electro.nekrasovka.ru/books/6163912/pages/1,https://api.electro.nekrasovka.ru/api/books/6163912/pages/4/img/original,1946/2/21,1
"Вечерняя Москва, газета Московского городского комитета ВКП(б) и Моссовета, 1946, № 45 (6716), 22 февраля",https://electro.nekrasovka.ru/books/6163913/pages/1,https://api.electro.nekrasovka.ru/api/books/6163913/pages/4/img/original,1946/2/22,0
"Вечерняя Москва, газета Московского городского комитета ВКП(б) и Моссовета, 1946, № 46 (6717), 23 февраля",https://electro.nekrasovka.ru/books/6163914/pages/1,https://api.electro.nekrasovka.ru/api/books/6163914/pages/4/img/original,1946/2/23,0
"Вечерняя Москва, газета Московского городского комитета ВКП(б) и Моссовета, 1946, № 47 (6718), 25 февраля",https://electro.nekrasovka.ru/books/6163915/pages/1,https://api.electro.nekrasovka.ru/api/books/6163915/pages/4/img/original,1946/2/25,1
"Вечерняя Москва, газета Московского городского комитета ВКП(б) и Моссовета, 1946, № 48 (6719), 26 февраля",https://electro.nekrasovka.ru/books/6163916/pages/1,https://api.electro.nekrasovka.ru/api/books/6163916/pages/4/img/original,1946/2/26,1
"Вечерняя Москва, газета Московского городского комитета ВКП(б) и Моссовета, 1946, № 49 (6720), 27 февраля",https://electro.nekrasovka.ru/books/6163917/pages/1,https://api.electro.nekrasovka.ru/api/books/6163917/pages/4/img/original,1946/2/27,1
"Вечерняя Москва, газета Московского городского комитета ВКП(б) и Моссовета, 1946, № 50 (6721), 28 февраля",https://electro.nekrasovka.ru/books/6163918/pages/1,https://api.electro.nekrasovka.ru/api/books/6163918/pages/4/img/original,1946/2/28,1
"Вечерняя Москва, газета Московского городского комитета ВКП(б) и Моссовета, 1946, № 51 (6722), 1 марта",https://electro.nekrasovka.ru/books/6163919/pages/1,https://api.electro.nekrasovka.ru/api/books/6163919/pages/4/img/original,1946/3/1,1
"Вечерняя Москва, газета Московского городского комитета ВКП(б) и Моссовета, 1946, № 52 (6723), 2 марта",https://electro.nekrasovka.ru/books/6163920/pages/1,https://api.electro.nekrasovka.ru/api/books/6163920/pages/4/img/original,1946/3/2,0
"Вечерняя Москва, газета Московского городского комитета ВКП(б) и Моссовета, 1946, № 53 (6724), 4 марта",https://electro.nekrasovka.ru/books/6163921/pages/1,https://api.electro.nekrasovka.ru/api/books/6163921/pages/4/img/original,1946/3/4,1
"Вечерняя Москва, газета Московского городского комитета ВКП(б) и Моссовета, 1946, № 54 (6725), 5 марта",https://electro.nekrasovka.ru/books/6163922/pages/1,https://api.electro.nekrasovka.ru/api/books/6163922/pages/4/img/original,1946/3/5,1
"Вечерняя Москва, газета Московского городского комитета ВКП(б) и Моссовета, 1946, № 55 (6726), 6 марта",https://electro.nekrasovka.ru/books/6163923/pages/1,https://api.electro.nekrasovka.ru/api/books/6163923/pages/4/img/original,1946/3/6,1
"Вечерняя Москва, газета Московского городского комитета ВКП(б) и Моссовета, 1946, № 56 (6727), 7 марта",https://electro.nekrasovka.ru/books/6163924/pages/1,https://api.electro.nekrasovka.ru/api/books/6163924/pages/4/img/original,1946/3/7,1
"Вечерняя Москва, газета Московского городского комитета ВКП(б) и Моссовета, 1946, № 57 (6728), 8 марта",https://electro.nekrasovka.ru/books/6163925/pages/1,https://api.electro.nekrasovka.ru/api/books/6163925/pages/4/img/original,1946/3/8,1
"Вечерняя Москва, газета Московского городского комитета ВКП(б) и Моссовета, 1946, № 58 (6729), 9 марта",https://electro.nekrasovka.ru/books/6163926/pages/1,https://api.electro.nekrasovka.ru/api/books/6163926/pages/4/img/original,1946/3/9,0
"Вечерняя Москва, газета Московского городского комитета ВКП(б) и Моссовета, 1946, № 59 (6730), 11 марта",https://electro.nekrasovka.ru/books/6163927/pages/1,https://api.electro.nekrasovka.ru/api/books/6163927/pages/4/img/original,1946/3/11,1
"Вечерняя Москва, газета Московского городского комитета ВКП(б) и Моссовета, 1946, № 60 (6731), 12 марта",https://electro.nekrasovka.ru/books/6163928/pages/1,https://api.electro.nekrasovka.ru/api/books/6163928/pages/4/img/original,1946/3/12,1
"Вечерняя Москва, газета Московского городского комитета ВКП(б) и Моссовета, 1946, № 61 (6732), 13 марта",https://electro.nekrasovka.ru/books/6163929/pages/1,https://api.electro.nekrasovka.ru/api/books/6163929/pages/4/img/original,1946/3/13,1
"Вечерняя Москва, газета Московского городского комитета ВКП(б) и Моссовета, 1946, № 62 (6733), 14 марта",https://electro.nekrasovka.ru/books/6163930/pages/1,https://api.electro.nekrasovka.ru/api/books/6163930/pages/4/img/original,1946/3/14,1
"Вечерняя Москва, газета Московского городского комитета ВКП(б) и Моссовета, 1946, № 63 (6734), 15 марта",https://electro.nekrasovka.ru/books/6163931/pages/1,https://api.electro.nekrasovka.ru/api/books/6163931/pages/4/img/original,1946/3/15,1
"Вечерняя Москва, газета Московского городского комитета ВКП(б) и Моссовета, 1946, № 64 (6735), 16 марта",https://electro.nekrasovka.ru/books/6163932/pages/1,https://api.electro.nekrasovka.ru/api/books/6163932/pages/4/img/original,1946/3/16,0
"Вечерняя Москва, газета Московского городского комитета ВКП(б) и Моссовета, 1946, № 65 (6736), 18 марта",https://electro.nekrasovka.ru/books/6163933/pages/1,https://api.electro.nekrasovka.ru/api/books/6163933/pages/4/img/original,1946/3/18,1
"Вечерняя Москва, газета Московского городского комитета ВКП(б) и Моссовета, 1946, № 66 (6737), 19 марта",https://electro.nekrasovka.ru/books/6163934/pages/1,https://api.electro.nekrasovka.ru/api/books/6163934/pages/4/img/original,1946/3/19,1
"Вечерняя Москва, газета Московского городского комитета ВКП(б) и Моссовета, 1946, № 67 (6738), 20 марта",https://electro.nekrasovka.ru/books/6163936/pages/1,https://api.electro.nekrasovka.ru/api/books/6163936/pages/4/img/original,1946/3/20,1
"Вечерняя Москва, газета Московского городского комитета ВКП(б) и Моссовета, 1946, № 68 (6739), 21 марта",https://electro.nekrasovka.ru/books/6163958/pages/1,https://api.electro.nekrasovka.ru/api/books/6163958/pages/4/img/original,1946/3/21,1
"Вечерняя Москва, газета Московского городского комитета ВКП(б) и Моссовета, 1946, № 69 (6740), 22 марта",https://electro.nekrasovka.ru/books/6163961/pages/1,https://api.electro.nekrasovka.ru/api/books/6163961/pages/4/img/original,1946/3/22,1
"Вечерняя Москва, газета Московского городского комитета ВКП(б) и Моссовета, 1946, № 70 (6741), 23 марта",https://electro.nekrasovka.ru/books/6163963/pages/1,https://api.electro.nekrasovka.ru/api/books/6163963/pages/4/img/original,1946/3/23,0
"Вечерняя Москва, газета Московского городского комитета ВКП(б) и Моссовета, 1946, № 71 (6742), 25 марта",https://electro.nekrasovka.ru/books/6163965/pages/1,https://api.electro.nekrasovka.ru/api/books/6163965/pages/4/img/original,1946/3/25,1
"Вечерняя Москва, газета Московского городского комитета ВКП(б) и Моссовета, 1946, № 72 (6743), 26 марта",https://electro.nekrasovka.ru/books/6163966/pages/1,https://api.electro.nekrasovka.ru/api/books/6163966/pages/4/img/original,1946/3/26,1
"Вечерняя Москва, газета Московского городского комитета ВКП(б) и Моссовета, 1946, № 73 (6744), 27 марта",https://electro.nekrasovka.ru/books/6163968/pages/1,https://api.electro.nekrasovka.ru/api/books/6163968/pages/4/img/original,1946/3/27,1
"Вечерняя Москва, газета Московского городского комитета ВКП(б) и Моссовета, 1946, № 74 (6745), 28 марта",https://electro.nekrasovka.ru/books/6163971/pages/1,https://api.electro.nekrasovka.ru/api/books/6163971/pages/4/img/original,1946/3/28,1
"Вечерняя Москва, газета Московского городского комитета ВКП(б) и Моссовета, 1946, № 75 (6746), 29 марта",https://electro.nekrasovka.ru/books/6163973/pages/1,https://api.electro.nekrasovka.ru/api/books/6163973/pages/4/img/original,1946/3/29,1
"Вечерняя Москва, газета Московского городского комитета ВКП(б) и Моссовета, 1946, № 76 (6747), 30 марта",https://electro.nekrasovka.ru/books/6163975/pages/1,https://api.electro.nekrasovka.ru/api/books/6163975/pages/4/img/original,1946/3/30,0
"Вечерняя Москва, газета Московского городского комитета ВКП(б) и Моссовета, 1946, № 78 (6749), 2 апреля",https://electro.nekrasovka.ru/books/6163976/pages/1,https://api.electro.nekrasovka.ru/api/books/6163976/pages/4/img/original,1946/4/2,1
"Вечерняя Москва, газета Московского городского комитета ВКП(б) и Моссовета, 1946, № 79 (6750), 3 апреля",https://electro.nekrasovka.ru/books/6163979/pages/1,https://api.electro.nekrasovka.ru/api/books/6163979/pages/4/img/original,1946/4/3,1
"Вечерняя Москва, газета Московского городского комитета ВКП(б) и Моссовета, 1946, № 80 (6751), 4 апреля",https://electro.nekrasovka.ru/books/6163981/pages/1,https://api.electro.nekrasovka.ru/api/books/6163981/pages/4/img/original,1946/4/4,1
"Вечерняя Москва, газета Московского городского комитета ВКП(б) и Моссовета, 1946, № 81 (6752), 5 апреля",https://electro.nekrasovka.ru/books/6163982/pages/1,https://api.electro.nekrasovka.ru/api/books/6163982/pages/4/img/original,1946/4/5,1
"Вечерняя Москва, газета Московского городского комитета ВКП(б) и Моссовета, 1946, № 82 (6753), 6 апреля",https://electro.nekrasovka.ru/books/6163985/pages/1,https://api.electro.nekrasovka.ru/api/books/6163985/pages/4/img/original,1946/4/6,0
"Вечерняя Москва, газета Московского городского комитета ВКП(б) и Моссовета, 1946, № 83 (6754), 8 апреля",https://electro.nekrasovka.ru/books/6163987/pages/1,https://api.electro.nekrasovka.ru/api/books/6163987/pages/4/img/original,1946/4/8,1
"Вечерняя Москва, газета Московского городского комитета ВКП(б) и Моссовета, 1946, № 84 (6755), 9 апреля",https://electro.nekrasovka.ru/books/6163989/pages/1,https://api.electro.nekrasovka.ru/api/books/6163989/pages/4/img/original,1946/4/9,1
